id,lock_version,json_schema_version,vocab_id,"term",term_type_id,"created_by","last_modified_by","create_time","system_mtime","user_mtime"
1,0,1,1,"World War, 1914-1919",1275,"admin","admin","2016-01-17 22:12:36","2016-01-17 22:12:36","2016-01-17 22:12:36"
2,0,1,1,"United States--History--Civil War, 1861-1865--Naval Operations",1275,"admin","admin","2016-01-21 02:58:45","2016-01-21 02:58:45","2016-01-21 02:58:45"
3,0,1,1,"United States. Navy",1275,"admin","admin","2016-01-21 02:58:45","2016-01-21 02:58:45","2016-01-21 02:58:45"
4,0,1,1,"United States. Navy--Officers",1275,"admin","admin","2016-01-21 02:58:45","2016-01-21 02:58:45","2016-01-21 02:58:45"
5,0,1,1,"Tennessee (Ironclad)",1275,"admin","admin","2016-01-21 02:58:45","2016-01-21 02:58:45","2016-01-21 02:58:45"
6,0,1,1,"Botanists -- France.",1271,"admin","admin","2016-01-24 13:21:28","2016-01-24 13:21:28","2016-01-24 13:21:28"
7,0,1,1,"Public officers -- Mexico.",1271,"admin","admin","2016-01-24 13:21:28","2016-01-24 13:21:28","2016-01-24 13:21:28"
8,0,1,1,"Texas -- Politics and government -- To 1846.",1269,"admin","admin","2016-01-24 13:21:28","2016-01-24 13:21:28","2016-01-24 13:21:28"
9,0,1,1,"Texas -- Description and travel.",1269,"admin","admin","2016-01-24 13:21:28","2016-01-24 13:21:28","2016-01-24 13:21:28"
10,0,1,1,"Mexican War, 1846-1848 -- Campaigns.",1275,"admin","admin","2016-01-24 13:21:28","2016-01-24 13:21:28","2016-01-24 13:21:28"
11,0,1,1,"Mexico -- Description and travel.",1269,"admin","admin","2016-01-24 13:21:28","2016-01-24 13:21:28","2016-01-24 13:21:28"
12,0,1,1,"Mexico -- Gazetteers.",1269,"admin","admin","2016-01-24 13:21:28","2016-01-24 13:21:28","2016-01-24 13:21:28"
13,0,1,1,"Mexico -- History -- 1810-",1269,"admin","admin","2016-01-24 13:21:28","2016-01-24 13:21:28","2016-01-24 13:21:28"
14,0,1,1,"Mexico -- Maps.",1269,"admin","admin","2016-01-24 13:21:28","2016-01-24 13:21:28","2016-01-24 13:21:28"
15,0,1,1,"Nuevo León (Mexico : State) -- Pictorial works.",1269,"admin","admin","2016-01-24 13:21:28","2016-01-24 13:21:28","2016-01-24 13:21:28"
16,0,1,1,"Provincias Internas (New Spain)",1269,"admin","admin","2016-01-24 13:21:28","2016-01-24 13:21:28","2016-01-24 13:21:28"
17,0,1,1,"Tamaulipas (Mexico) -- Pictorial works.",1269,"admin","admin","2016-01-24 13:21:28","2016-01-24 13:21:28","2016-01-24 13:21:28"
18,0,1,1,"Diaries -- France.",1270,"admin","admin","2016-01-24 13:21:28","2016-01-24 13:21:28","2016-01-24 13:21:28"
19,0,1,1,"Mexico -- History -- 1821-1861.",1269,"admin","admin","2016-01-24 13:21:28","2016-01-24 13:21:28","2016-01-24 13:21:28"
20,0,1,1,"Texas -- History -- To 1846.",1269,"admin","admin","2016-01-24 13:21:28","2016-01-24 13:21:28","2016-01-24 13:21:28"
21,0,1,1,"Texas -- Boundaries -- United States.",1269,"admin","admin","2016-01-24 13:21:28","2016-01-24 13:21:28","2016-01-24 13:21:28"
22,0,1,1,"United States -- Boundaries -- Texas.",1269,"admin","admin","2016-01-24 13:21:28","2016-01-24 13:21:28","2016-01-24 13:21:28"
23,0,1,1,"Gutierrez-Magee Expedition, 1812-1813.",1275,"admin","admin","2016-01-24 13:21:28","2016-01-24 13:21:28","2016-01-24 13:21:28"
24,0,1,1,"Land grants -- Texas.",1275,"admin","admin","2016-01-24 13:21:28","2016-01-24 13:21:28","2016-01-24 13:21:28"
25,0,1,1,"Meteorology -- Mexico.",1275,"admin","admin","2016-01-24 13:21:28","2016-01-24 13:21:28","2016-01-24 13:21:28"
26,0,1,1,"Forests and forestry -- Maine -- History",1275,"admin","admin","2016-01-28 12:59:14","2016-01-28 12:59:14","2016-01-28 12:59:14"
27,0,1,1,"Logging -- Maine -- History",1275,"admin","admin","2016-01-28 12:59:14","2016-01-28 12:59:14","2016-01-28 12:59:14"
28,0,1,1,"Paper industry -- Maine -- History",1275,"admin","admin","2016-01-28 12:59:14","2016-01-28 12:59:14","2016-01-28 12:59:14"
29,0,1,1,"Paper mills -- Maine -- History",1275,"admin","admin","2016-01-28 12:59:14","2016-01-28 12:59:14","2016-01-28 12:59:14"
30,0,1,1,"Papermaking -- Maine -- History",1275,"admin","admin","2016-01-28 12:59:14","2016-01-28 12:59:14","2016-01-28 12:59:14"
31,0,1,1,"East Millinocket (Me.) -- History",1269,"admin","admin","2016-01-28 12:59:14","2016-01-28 12:59:14","2016-01-28 12:59:14"
32,0,1,1,"Madison (Me.) -- History",1269,"admin","admin","2016-01-28 12:59:14","2016-01-28 12:59:14","2016-01-28 12:59:14"
33,0,1,1,"Millinocket (Me.) -- History",1269,"admin","admin","2016-01-28 12:59:14","2016-01-28 12:59:14","2016-01-28 12:59:14"
34,0,1,1,"Women -- Societies and clubs",1275,"admin","admin","2016-01-28 12:59:38","2016-01-28 12:59:38","2016-01-28 12:59:38"
35,0,1,1,"Invitations",1270,"admin","admin","2016-01-28 12:59:38","2016-01-28 12:59:38","2016-01-28 12:59:38"
36,0,1,1,"Correspondence",1270,"admin","admin","2016-01-28 12:59:38","2016-01-28 12:59:38","2016-01-28 12:59:38"
37,0,1,1,"Programs",1270,"admin","admin","2016-01-28 12:59:38","2016-01-28 12:59:38","2016-01-28 12:59:38"
38,0,1,1,"Calendars",1270,"admin","admin","2016-01-28 12:59:38","2016-01-28 12:59:38","2016-01-28 12:59:38"
39,0,1,1,"Receipts (Financial records)",1270,"admin","admin","2016-01-28 12:59:38","2016-01-28 12:59:38","2016-01-28 12:59:38"
