id,repo_id,lock_version,json_schema_version,"job_blob","time_submitted","time_started","time_finished",owner_id,"status","created_by","last_modified_by","create_time","system_mtime","user_mtime","job_params","job_type"
1,2,7,1,"{\"import_type\":\"ead_xml\",\"jsonmodel_type\":\"import_job\",\"filenames\":[\"SamuelSwitzerPapers.xml\"]}","2015-12-21 18:48:27","2015-12-21 18:48:31","2015-12-21 18:48:56",1,"completed","admin","admin","2015-12-21 18:48:27","2015-12-21 18:48:56","2015-12-21 18:48:27","\"\"","import_job"
2,3,4,1,"{\"import_type\":\"ead_xml\",\"jsonmodel_type\":\"import_job\",\"filenames\":[\"Record_Group_53_ead.xml\"]}","2015-12-22 18:23:20","2015-12-22 18:23:23","2015-12-22 18:23:34",1,"failed","admin","admin","2015-12-22 18:23:20","2015-12-22 18:23:34","2015-12-22 18:23:20","\"\"","import_job"
3,3,3,1,"{\"import_type\":\"ead_xml\",\"jsonmodel_type\":\"import_job\",\"filenames\":[\"Record_Group_53_ead-stripped.xml\"]}","2015-12-22 18:42:31","2015-12-22 18:42:34","2015-12-22 18:42:39",1,"failed","admin","admin","2015-12-22 18:42:31","2015-12-22 18:42:39","2015-12-22 18:42:31","\"\"","import_job"
4,3,3,1,"{\"import_type\":\"ead_xml\",\"jsonmodel_type\":\"import_job\",\"filenames\":[\"Record_Group_53_ead-less-notes.xml\"]}","2015-12-22 18:47:51","2015-12-22 18:47:54","2015-12-22 18:47:59",1,"failed","admin","admin","2015-12-22 18:47:51","2015-12-22 18:47:59","2015-12-22 18:47:51","\"\"","import_job"
5,3,3,1,"{\"import_type\":\"ead_xml\",\"jsonmodel_type\":\"import_job\",\"filenames\":[\"Record_Group_53_ead-less-notes.xml\"]}","2015-12-22 18:52:47","2015-12-22 18:52:50","2015-12-22 18:52:55",1,"failed","admin","admin","2015-12-22 18:52:47","2015-12-22 18:52:55","2015-12-22 18:52:47","\"\"","import_job"
6,3,5,1,"{\"import_type\":\"ead_xml\",\"jsonmodel_type\":\"import_job\",\"filenames\":[\"SamuelSwitzerPapers.xml\"]}","2016-01-04 22:20:31","2016-01-04 22:20:32","2016-01-04 22:20:47",1,"completed","admin","admin","2016-01-04 22:20:31","2016-01-04 22:20:47","2016-01-04 22:20:31","\"\"","import_job"
7,3,3,1,"{\"import_type\":\"ead_xml\",\"jsonmodel_type\":\"import_job\",\"filenames\":[\"SamuelSwitzerPapers_test.xml\"]}","2016-01-07 02:52:28","2016-01-07 02:52:31","2016-01-07 02:52:36",1,"failed","admin","admin","2016-01-07 02:52:28","2016-01-07 02:52:36","2016-01-07 02:52:28","\"\"","import_job"
8,2,3,1,"{\"import_type\":\"ead_xml\",\"jsonmodel_type\":\"import_job\",\"filenames\":[\"SamuelSwitzerPapers_test.xml\"]}","2016-01-07 02:53:36","2016-01-07 02:53:36","2016-01-07 02:53:41",1,"completed","admin","admin","2016-01-07 02:53:36","2016-01-07 02:53:41","2016-01-07 02:53:36","\"\"","import_job"
9,2,3,1,"{\"import_type\":\"ead_xml\",\"jsonmodel_type\":\"import_job\",\"filenames\":[\"sample_steady.csv-ead (2).xml\"]}","2016-01-07 22:17:48","2016-01-07 22:17:52","2016-01-07 22:17:57",1,"failed","admin","admin","2016-01-07 22:17:48","2016-01-07 22:17:57","2016-01-07 22:17:48","\"\"","import_job"
10,2,3,1,"{\"import_type\":\"ead_xml\",\"jsonmodel_type\":\"import_job\",\"filenames\":[\"SamuelSwitzerPapers_test.xml\"]}","2016-01-10 16:39:46","2016-01-10 16:39:47","2016-01-10 16:39:52",1,"failed","admin","admin","2016-01-10 16:39:46","2016-01-10 16:39:52","2016-01-10 16:39:46","\"\"","import_job"
