id,repo_id,lock_version,json_schema_version,"barcode","ils_holding_id","ils_item_id","exported_to_ils","indicator","created_by","last_modified_by","create_time","system_mtime","user_mtime",type_id,"created_for_collection"
40,3,41,1,NULL,NULL,NULL,NULL,"1","admin","admin","2016-01-04 22:20:40","2017-07-13 22:14:18","2016-01-04 22:20:40",NULL,NULL
41,3,47,1,NULL,NULL,NULL,NULL,"2","admin","admin","2016-01-04 22:20:40","2017-07-13 22:14:18","2016-01-04 22:20:40",NULL,NULL
42,3,33,1,NULL,NULL,NULL,NULL,"3","admin","admin","2016-01-04 22:20:40","2017-07-13 22:14:18","2016-01-04 22:20:40",NULL,NULL
43,3,16,1,NULL,NULL,NULL,NULL,"4","admin","admin","2016-01-04 22:20:40","2017-07-13 22:14:18","2016-01-04 22:20:40",NULL,NULL
44,3,23,1,NULL,NULL,NULL,NULL,"5","admin","admin","2016-01-04 22:20:40","2017-07-13 22:14:18","2016-01-04 22:20:40",NULL,NULL
45,3,6,1,NULL,NULL,NULL,NULL,"6","admin","admin","2016-01-04 22:20:40","2017-07-13 22:14:18","2016-01-04 22:20:40",NULL,NULL
46,3,5,1,NULL,NULL,NULL,NULL,"7","admin","admin","2016-01-04 22:20:41","2017-07-13 22:14:18","2016-01-04 22:20:41",NULL,NULL
47,3,5,1,NULL,NULL,NULL,NULL,"8","admin","admin","2016-01-04 22:20:41","2017-07-13 22:14:18","2016-01-04 22:20:41",NULL,NULL
48,3,5,1,NULL,NULL,NULL,NULL,"9","admin","admin","2016-01-04 22:20:41","2017-07-13 22:14:18","2016-01-04 22:20:41",NULL,NULL
49,3,4,1,NULL,NULL,NULL,NULL,"10","admin","admin","2016-01-04 22:20:41","2017-07-13 22:14:18","2016-01-04 22:20:41",NULL,NULL
50,3,4,1,NULL,NULL,NULL,NULL,"11","admin","admin","2016-01-04 22:20:41","2017-07-13 22:14:18","2016-01-04 22:20:41",NULL,NULL
51,3,4,1,NULL,NULL,NULL,NULL,"12","admin","admin","2016-01-04 22:20:41","2017-07-13 22:14:18","2016-01-04 22:20:41",NULL,NULL
52,3,4,1,NULL,NULL,NULL,NULL,"13","admin","admin","2016-01-04 22:20:41","2017-07-13 22:14:18","2016-01-04 22:20:41",NULL,NULL
53,3,4,1,NULL,NULL,NULL,NULL,"14","admin","admin","2016-01-04 22:20:41","2017-07-13 22:14:18","2016-01-04 22:20:41",NULL,NULL
54,3,4,1,NULL,NULL,NULL,NULL,"15","admin","admin","2016-01-04 22:20:41","2017-07-13 22:14:18","2016-01-04 22:20:41",NULL,NULL
55,3,4,1,NULL,NULL,NULL,NULL,"16","admin","admin","2016-01-04 22:20:41","2017-07-13 22:14:18","2016-01-04 22:20:41",NULL,NULL
56,3,4,1,NULL,NULL,NULL,NULL,"17","admin","admin","2016-01-04 22:20:41","2017-07-13 22:14:18","2016-01-04 22:20:41",NULL,NULL
57,3,3,1,NULL,NULL,NULL,NULL,"18","admin","admin","2016-01-04 22:20:41","2017-07-13 22:14:18","2016-01-04 22:20:41",NULL,NULL
58,3,3,1,NULL,NULL,NULL,NULL,"19","admin","admin","2016-01-04 22:20:41","2017-07-13 22:14:18","2016-01-04 22:20:41",NULL,NULL
59,3,3,1,NULL,NULL,NULL,NULL,"20","admin","admin","2016-01-04 22:20:41","2017-07-13 22:14:18","2016-01-04 22:20:41",NULL,NULL
60,3,3,1,NULL,NULL,NULL,NULL,"21","admin","admin","2016-01-04 22:20:41","2017-07-13 22:14:18","2016-01-04 22:20:41",NULL,NULL
61,3,3,1,NULL,NULL,NULL,NULL,"22","admin","admin","2016-01-04 22:20:41","2017-07-13 22:14:18","2016-01-04 22:20:41",NULL,NULL
62,3,2,1,NULL,NULL,NULL,NULL,"23","admin","admin","2016-01-04 22:20:42","2017-07-13 22:14:18","2016-01-04 22:20:42",NULL,NULL
63,3,2,1,NULL,NULL,NULL,NULL,"24","admin","admin","2016-01-04 22:20:42","2017-07-13 22:14:18","2016-01-04 22:20:42",NULL,NULL
64,3,2,1,NULL,NULL,NULL,NULL,"25","admin","admin","2016-01-04 22:20:42","2017-07-13 22:14:18","2016-01-04 22:20:42",NULL,NULL
65,3,2,1,NULL,NULL,NULL,NULL,"26","admin","admin","2016-01-04 22:20:42","2017-07-13 22:14:18","2016-01-04 22:20:42",NULL,NULL
66,3,2,1,NULL,NULL,NULL,NULL,"27","admin","admin","2016-01-04 22:20:42","2017-07-13 22:14:18","2016-01-04 22:20:42",NULL,NULL
67,3,2,1,NULL,NULL,NULL,NULL,"28","admin","admin","2016-01-04 22:20:42","2017-07-13 22:14:18","2016-01-04 22:20:42",NULL,NULL
68,3,2,1,NULL,NULL,NULL,NULL,"29","admin","admin","2016-01-04 22:20:42","2017-07-13 22:14:18","2016-01-04 22:20:42",NULL,NULL
69,3,2,1,NULL,NULL,NULL,NULL,"30","admin","admin","2016-01-04 22:20:42","2017-07-13 22:14:18","2016-01-04 22:20:42",NULL,NULL
