id,location_id,repository_id,aspace_relationship_position,suppressed,"created_by","last_modified_by","system_mtime","user_mtime"
1,544,2,0,0,NULL,NULL,"2016-06-24 13:25:31","2016-06-24 13:25:31"
12,545,2,0,0,NULL,NULL,"2016-06-27 14:01:29","2016-06-27 14:01:29"
14,916,2,0,0,NULL,NULL,"2016-06-27 14:05:39","2016-06-27 14:05:39"
15,917,2,0,0,NULL,NULL,"2016-06-27 14:05:39","2016-06-27 14:05:39"
16,918,2,0,0,NULL,NULL,"2016-06-27 14:05:39","2016-06-27 14:05:39"
17,919,2,0,0,NULL,NULL,"2016-06-27 14:05:39","2016-06-27 14:05:39"
18,920,2,0,0,NULL,NULL,"2016-06-27 14:05:39","2016-06-27 14:05:39"
19,921,2,0,0,NULL,NULL,"2016-06-27 14:05:39","2016-06-27 14:05:39"
20,922,2,0,0,NULL,NULL,"2016-06-27 14:05:39","2016-06-27 14:05:39"
21,923,2,0,0,NULL,NULL,"2016-06-27 14:05:39","2016-06-27 14:05:39"
22,924,2,0,0,NULL,NULL,"2016-06-27 14:05:39","2016-06-27 14:05:39"
23,925,2,0,0,NULL,NULL,"2016-06-27 14:05:39","2016-06-27 14:05:39"
24,926,2,0,0,NULL,NULL,"2016-06-27 14:05:39","2016-06-27 14:05:39"
25,927,2,0,0,NULL,NULL,"2016-06-27 14:05:39","2016-06-27 14:05:39"
26,928,2,0,0,NULL,NULL,"2016-06-27 14:05:39","2016-06-27 14:05:39"
27,929,2,0,0,NULL,NULL,"2016-06-27 14:05:39","2016-06-27 14:05:39"
28,930,2,0,0,NULL,NULL,"2016-06-27 14:05:39","2016-06-27 14:05:39"
29,931,2,0,0,NULL,NULL,"2016-06-27 14:05:39","2016-06-27 14:05:39"
30,932,2,0,0,NULL,NULL,"2016-06-27 14:05:39","2016-06-27 14:05:39"
31,933,2,0,0,NULL,NULL,"2016-06-27 14:05:39","2016-06-27 14:05:39"
32,934,2,0,0,NULL,NULL,"2016-06-27 14:05:39","2016-06-27 14:05:39"
33,935,2,0,0,NULL,NULL,"2016-06-27 14:05:39","2016-06-27 14:05:39"
34,936,2,0,0,NULL,NULL,"2016-06-27 14:05:39","2016-06-27 14:05:39"
35,937,2,0,0,NULL,NULL,"2016-06-27 14:05:39","2016-06-27 14:05:39"
36,938,2,0,0,NULL,NULL,"2016-06-27 14:05:39","2016-06-27 14:05:39"
37,939,2,0,0,NULL,NULL,"2016-06-27 14:05:39","2016-06-27 14:05:39"
38,940,2,0,0,NULL,NULL,"2016-06-27 14:05:39","2016-06-27 14:05:39"
39,941,2,0,0,NULL,NULL,"2016-06-27 14:05:39","2016-06-27 14:05:39"
40,942,2,0,0,NULL,NULL,"2016-06-27 14:05:39","2016-06-27 14:05:39"
41,943,2,0,0,NULL,NULL,"2016-06-27 14:05:39","2016-06-27 14:05:39"
42,944,2,0,0,NULL,NULL,"2016-06-27 14:05:39","2016-06-27 14:05:39"
43,945,2,0,0,NULL,NULL,"2016-06-27 14:05:39","2016-06-27 14:05:39"
44,946,2,0,0,NULL,NULL,"2016-06-27 14:05:39","2016-06-27 14:05:39"
45,947,2,0,0,NULL,NULL,"2016-06-27 14:05:39","2016-06-27 14:05:39"
46,948,2,0,0,NULL,NULL,"2016-06-27 14:05:39","2016-06-27 14:05:39"
47,949,2,0,0,NULL,NULL,"2016-06-27 14:05:39","2016-06-27 14:05:39"
48,950,2,0,0,NULL,NULL,"2016-06-27 14:05:39","2016-06-27 14:05:39"
49,951,2,0,0,NULL,NULL,"2016-06-27 14:05:40","2016-06-27 14:05:40"
50,952,2,0,0,NULL,NULL,"2016-06-27 14:05:40","2016-06-27 14:05:40"
51,953,2,0,0,NULL,NULL,"2016-06-27 14:05:40","2016-06-27 14:05:40"
52,954,2,0,0,NULL,NULL,"2016-06-27 14:05:40","2016-06-27 14:05:40"
53,955,2,0,0,NULL,NULL,"2016-06-27 14:05:40","2016-06-27 14:05:40"
54,956,2,0,0,NULL,NULL,"2016-06-27 14:05:40","2016-06-27 14:05:40"
55,957,2,0,0,NULL,NULL,"2016-06-27 14:05:40","2016-06-27 14:05:40"
56,958,2,0,0,NULL,NULL,"2016-06-27 14:05:40","2016-06-27 14:05:40"
57,959,2,0,0,NULL,NULL,"2016-06-27 14:05:40","2016-06-27 14:05:40"
58,960,2,0,0,NULL,NULL,"2016-06-27 14:05:40","2016-06-27 14:05:40"
59,961,2,0,0,NULL,NULL,"2016-06-27 14:05:40","2016-06-27 14:05:40"
60,962,2,0,0,NULL,NULL,"2016-06-27 14:05:40","2016-06-27 14:05:40"
61,963,2,0,0,NULL,NULL,"2016-06-27 14:05:40","2016-06-27 14:05:40"
62,964,2,0,0,NULL,NULL,"2016-06-27 14:05:40","2016-06-27 14:05:40"
63,965,2,0,0,NULL,NULL,"2016-06-27 14:05:40","2016-06-27 14:05:40"
64,966,2,0,0,NULL,NULL,"2016-06-27 14:05:40","2016-06-27 14:05:40"
65,967,2,0,0,NULL,NULL,"2016-06-27 14:05:40","2016-06-27 14:05:40"
66,968,2,0,0,NULL,NULL,"2016-06-27 14:05:40","2016-06-27 14:05:40"
67,969,2,0,0,NULL,NULL,"2016-06-27 14:05:40","2016-06-27 14:05:40"
68,970,2,0,0,NULL,NULL,"2016-06-27 14:05:40","2016-06-27 14:05:40"
69,971,2,0,0,NULL,NULL,"2016-06-27 14:05:40","2016-06-27 14:05:40"
70,972,2,0,0,NULL,NULL,"2016-06-27 14:05:40","2016-06-27 14:05:40"
71,973,2,0,0,NULL,NULL,"2016-06-27 14:05:40","2016-06-27 14:05:40"
72,974,2,0,0,NULL,NULL,"2016-06-27 14:05:40","2016-06-27 14:05:40"
73,975,2,0,0,NULL,NULL,"2016-06-27 14:05:40","2016-06-27 14:05:40"
74,976,2,0,0,NULL,NULL,"2016-06-27 14:05:40","2016-06-27 14:05:40"
75,977,2,0,0,NULL,NULL,"2016-06-27 14:05:40","2016-06-27 14:05:40"
76,978,2,0,0,NULL,NULL,"2016-06-27 14:05:40","2016-06-27 14:05:40"
77,979,2,0,0,NULL,NULL,"2016-06-27 14:05:40","2016-06-27 14:05:40"
78,980,2,0,0,NULL,NULL,"2016-06-27 14:05:40","2016-06-27 14:05:40"
79,981,2,0,0,NULL,NULL,"2016-06-27 14:05:40","2016-06-27 14:05:40"
80,982,2,0,0,NULL,NULL,"2016-06-27 14:05:40","2016-06-27 14:05:40"
81,983,2,0,0,NULL,NULL,"2016-06-27 14:05:40","2016-06-27 14:05:40"
82,984,2,0,0,NULL,NULL,"2016-06-27 14:05:40","2016-06-27 14:05:40"
83,985,2,0,0,NULL,NULL,"2016-06-27 14:05:40","2016-06-27 14:05:40"
84,986,2,0,0,NULL,NULL,"2016-06-27 14:05:40","2016-06-27 14:05:40"
85,987,2,0,0,NULL,NULL,"2016-06-27 14:05:40","2016-06-27 14:05:40"
86,988,2,0,0,NULL,NULL,"2016-06-27 14:05:40","2016-06-27 14:05:40"
87,989,2,0,0,NULL,NULL,"2016-06-27 14:05:40","2016-06-27 14:05:40"
88,990,2,0,0,NULL,NULL,"2016-06-27 14:05:40","2016-06-27 14:05:40"
89,991,2,0,0,NULL,NULL,"2016-06-27 14:05:40","2016-06-27 14:05:40"
90,992,2,0,0,NULL,NULL,"2016-06-27 14:05:40","2016-06-27 14:05:40"
91,993,2,0,0,NULL,NULL,"2016-06-27 14:05:40","2016-06-27 14:05:40"
92,994,2,0,0,NULL,NULL,"2016-06-27 14:05:40","2016-06-27 14:05:40"
93,995,2,0,0,NULL,NULL,"2016-06-27 14:05:40","2016-06-27 14:05:40"
94,996,2,0,0,NULL,NULL,"2016-06-27 14:05:40","2016-06-27 14:05:40"
95,997,2,0,0,NULL,NULL,"2016-06-27 14:05:40","2016-06-27 14:05:40"
96,998,2,0,0,NULL,NULL,"2016-06-27 14:05:40","2016-06-27 14:05:40"
97,999,2,0,0,NULL,NULL,"2016-06-27 14:05:40","2016-06-27 14:05:40"
98,1000,2,0,0,NULL,NULL,"2016-06-27 14:05:40","2016-06-27 14:05:40"
99,1001,2,0,0,NULL,NULL,"2016-06-27 14:05:40","2016-06-27 14:05:40"
100,1002,2,0,0,NULL,NULL,"2016-06-27 14:05:40","2016-06-27 14:05:40"
101,1003,2,0,0,NULL,NULL,"2016-06-27 14:05:40","2016-06-27 14:05:40"
102,1004,2,0,0,NULL,NULL,"2016-06-27 14:05:40","2016-06-27 14:05:40"
103,1005,2,0,0,NULL,NULL,"2016-06-27 14:05:40","2016-06-27 14:05:40"
104,1006,2,0,0,NULL,NULL,"2016-06-27 14:05:40","2016-06-27 14:05:40"
105,1007,2,0,0,NULL,NULL,"2016-06-27 14:05:40","2016-06-27 14:05:40"
106,1008,2,0,0,NULL,NULL,"2016-06-27 14:05:40","2016-06-27 14:05:40"
107,1009,2,0,0,NULL,NULL,"2016-06-27 14:05:40","2016-06-27 14:05:40"
108,1010,2,0,0,NULL,NULL,"2016-06-27 14:05:40","2016-06-27 14:05:40"
