id,lock_version,json_schema_version,suppressed,repo_id,event_type_id,outcome_id,"outcome_note","timestamp","created_by","last_modified_by","create_time","system_mtime","user_mtime"
1,0,1,0,1,295,NULL,NULL,"2015-12-08 18:55:13",NULL,NULL,"2015-12-08 18:55:13","2015-12-08 18:55:13","2015-12-08 18:55:13"
2,0,1,0,1,295,NULL,NULL,"2015-12-08 18:55:13",NULL,NULL,"2015-12-08 18:55:13","2015-12-08 18:55:13","2015-12-08 18:55:13"
3,0,1,0,1,295,NULL,NULL,"2015-12-16 13:17:42","admin","admin","2015-12-16 13:17:42","2017-03-23 13:54:23","2015-12-16 13:17:42"
4,0,1,0,1,295,NULL,NULL,"2015-12-17 22:35:06","admin","admin","2015-12-17 22:35:06","2015-12-17 22:35:06","2015-12-17 22:35:06"
5,0,1,0,1,295,NULL,NULL,"2015-12-22 18:21:20","admin","admin","2015-12-22 18:21:20","2017-02-27 02:10:45","2015-12-22 18:21:20"
6,0,1,0,1,295,NULL,NULL,"2016-01-11 10:38:09","admin","admin","2016-01-11 10:38:09","2016-01-11 10:38:09","2016-01-11 10:38:09"
7,0,1,0,1,295,NULL,NULL,"2016-01-15 17:50:32","admin","admin","2016-01-15 17:50:32","2016-01-15 17:50:32","2016-01-15 17:50:32"
8,0,1,0,1,295,NULL,NULL,"2016-01-21 02:58:45","admin","admin","2016-01-21 02:58:45","2016-06-20 17:51:40","2016-01-21 02:58:45"
9,0,1,0,1,295,NULL,NULL,"2016-01-21 02:58:45","admin","admin","2016-01-21 02:58:45","2016-06-20 17:51:40","2016-01-21 02:58:45"
10,0,1,0,1,295,NULL,NULL,"2016-01-24 13:21:28","admin","admin","2016-01-24 13:21:28","2016-01-24 13:21:28","2016-01-24 13:21:28"
11,0,1,0,1,295,NULL,NULL,"2016-01-24 13:21:28","admin","admin","2016-01-24 13:21:28","2016-07-17 20:25:28","2016-01-24 13:21:28"
12,0,1,0,1,295,NULL,NULL,"2016-01-24 13:21:28","admin","admin","2016-01-24 13:21:28","2016-01-24 13:21:28","2016-01-24 13:21:28"
13,0,1,0,1,295,NULL,NULL,"2016-01-24 13:21:28","admin","admin","2016-01-24 13:21:28","2016-01-24 13:21:28","2016-01-24 13:21:28"
14,0,1,0,1,295,NULL,NULL,"2016-01-24 13:21:28","admin","admin","2016-01-24 13:21:28","2016-01-24 13:21:28","2016-01-24 13:21:28"
15,0,1,0,1,295,NULL,NULL,"2016-01-24 13:21:28","admin","admin","2016-01-24 13:21:28","2016-01-24 13:21:28","2016-01-24 13:21:28"
16,0,1,0,1,295,NULL,NULL,"2016-01-24 13:21:28","admin","admin","2016-01-24 13:21:28","2016-01-24 13:21:28","2016-01-24 13:21:28"
17,0,1,0,1,295,NULL,NULL,"2016-01-24 13:21:28","admin","admin","2016-01-24 13:21:28","2016-01-24 13:21:28","2016-01-24 13:21:28"
18,0,1,0,1,295,NULL,NULL,"2016-01-24 13:21:28","admin","admin","2016-01-24 13:21:28","2016-01-24 13:21:28","2016-01-24 13:21:28"
19,0,1,0,1,295,NULL,NULL,"2016-01-28 12:59:14","admin","admin","2016-01-28 12:59:14","2016-01-28 12:59:14","2016-01-28 12:59:14"
20,0,1,0,1,295,NULL,NULL,"2016-01-28 12:59:14","admin","admin","2016-01-28 12:59:14","2016-01-28 12:59:14","2016-01-28 12:59:14"
21,0,1,0,1,295,NULL,NULL,"2016-01-28 12:59:38","admin","admin","2016-01-28 12:59:38","2016-01-28 12:59:38","2016-01-28 12:59:38"
22,0,1,0,1,295,NULL,NULL,"2016-01-28 12:59:38","admin","admin","2016-01-28 12:59:38","2016-01-28 12:59:38","2016-01-28 12:59:38"
23,0,1,0,1,295,NULL,NULL,"2016-01-28 18:52:05",NULL,NULL,"2016-01-28 18:52:05","2016-01-28 18:52:05","2016-01-28 18:52:05"
24,0,1,0,1,295,NULL,NULL,"2016-02-02 20:08:53",NULL,NULL,"2016-02-02 20:08:53","2016-02-02 20:08:53","2016-02-02 20:08:53"
25,0,1,0,1,295,NULL,NULL,"2016-02-03 16:29:11","admin","admin","2016-02-03 16:29:11","2016-02-03 16:29:11","2016-02-03 16:29:11"
26,0,1,0,1,295,NULL,NULL,"2016-02-03 16:29:11","admin","admin","2016-02-03 16:29:11","2016-02-03 16:29:11","2016-02-03 16:29:11"
27,0,1,0,1,295,NULL,NULL,"2016-02-03 16:29:11","admin","admin","2016-02-03 16:29:11","2016-02-03 16:29:11","2016-02-03 16:29:11"
28,0,1,0,1,295,NULL,NULL,"2016-02-03 16:29:11","admin","admin","2016-02-03 16:29:11","2016-02-03 16:29:11","2016-02-03 16:29:11"
29,0,1,0,1,295,NULL,NULL,"2016-02-03 16:29:11","admin","admin","2016-02-03 16:29:11","2016-02-03 16:29:11","2016-02-03 16:29:11"
30,0,1,0,1,295,NULL,NULL,"2016-02-03 16:29:11","admin","admin","2016-02-03 16:29:11","2016-02-03 16:29:11","2016-02-03 16:29:11"
31,0,1,0,1,295,NULL,NULL,"2016-02-03 16:29:11","admin","admin","2016-02-03 16:29:11","2016-02-03 16:29:11","2016-02-03 16:29:11"
32,0,1,0,1,295,NULL,NULL,"2016-02-03 16:29:11","admin","admin","2016-02-03 16:29:11","2016-02-03 16:29:11","2016-02-03 16:29:11"
33,0,1,0,1,295,NULL,NULL,"2016-02-03 16:29:11","admin","admin","2016-02-03 16:29:11","2016-02-03 16:29:11","2016-02-03 16:29:11"
34,0,1,0,1,295,NULL,NULL,"2016-02-03 16:29:11","admin","admin","2016-02-03 16:29:11","2016-02-03 16:29:11","2016-02-03 16:29:11"
35,0,1,0,1,295,NULL,NULL,"2016-02-03 16:29:11","admin","admin","2016-02-03 16:29:11","2016-02-03 16:29:11","2016-02-03 16:29:11"
36,0,1,0,1,295,NULL,NULL,"2016-02-03 16:29:12","admin","admin","2016-02-03 16:29:12","2016-02-03 16:29:12","2016-02-03 16:29:12"
37,0,1,0,1,295,NULL,NULL,"2016-02-03 16:29:12","admin","admin","2016-02-03 16:29:12","2016-02-03 16:29:12","2016-02-03 16:29:12"
38,0,1,0,1,295,NULL,NULL,"2016-02-03 16:29:12","admin","admin","2016-02-03 16:29:12","2016-02-03 16:29:12","2016-02-03 16:29:12"
39,0,1,0,1,295,NULL,NULL,"2016-02-03 16:29:12","admin","admin","2016-02-03 16:29:12","2016-02-03 16:29:12","2016-02-03 16:29:12"
40,0,1,0,1,295,NULL,NULL,"2016-02-03 16:29:12","admin","admin","2016-02-03 16:29:12","2016-02-03 16:29:12","2016-02-03 16:29:12"
41,0,1,0,1,295,NULL,NULL,"2016-02-03 16:29:12","admin","admin","2016-02-03 16:29:12","2016-02-03 16:29:12","2016-02-03 16:29:12"
42,0,1,0,1,295,NULL,NULL,"2016-02-03 16:29:12","admin","admin","2016-02-03 16:29:12","2016-02-03 16:29:12","2016-02-03 16:29:12"
43,0,1,0,1,295,NULL,NULL,"2016-02-03 16:29:12","admin","admin","2016-02-03 16:29:12","2016-02-03 16:29:12","2016-02-03 16:29:12"
44,0,1,0,1,295,NULL,NULL,"2016-02-03 16:29:12","admin","admin","2016-02-03 16:29:12","2016-02-03 16:29:12","2016-02-03 16:29:12"
