id,top_container_id,sub_container_id,aspace_relationship_position,suppressed,"created_by","last_modified_by","system_mtime","user_mtime"
1708,133,1708,0,0,NULL,NULL,"2016-01-24 13:21:30","2016-01-24 13:21:30"
1709,134,1709,0,0,NULL,NULL,"2016-01-24 13:21:30","2016-01-24 13:21:30"
1710,135,1710,0,0,NULL,NULL,"2016-01-24 13:21:30","2016-01-24 13:21:30"
1711,136,1711,0,0,NULL,NULL,"2016-01-24 13:21:30","2016-01-24 13:21:30"
1712,137,1712,0,0,NULL,NULL,"2016-01-24 13:21:30","2016-01-24 13:21:30"
1713,138,1713,0,0,NULL,NULL,"2016-01-24 13:21:30","2016-01-24 13:21:30"
1714,139,1714,0,0,NULL,NULL,"2016-01-24 13:21:30","2016-01-24 13:21:30"
1715,140,1715,0,0,NULL,NULL,"2016-01-24 13:21:30","2016-01-24 13:21:30"
1716,141,1716,0,0,NULL,NULL,"2016-01-24 13:21:30","2016-01-24 13:21:30"
1717,142,1717,0,0,NULL,NULL,"2016-01-24 13:21:30","2016-01-24 13:21:30"
1718,143,1718,0,0,NULL,NULL,"2016-01-24 13:21:30","2016-01-24 13:21:30"
1719,144,1719,0,0,NULL,NULL,"2016-01-24 13:21:30","2016-01-24 13:21:30"
1720,145,1720,0,0,NULL,NULL,"2016-01-24 13:21:30","2016-01-24 13:21:30"
1721,146,1721,0,0,NULL,NULL,"2016-01-24 13:21:30","2016-01-24 13:21:30"
1722,147,1722,0,0,NULL,NULL,"2016-01-24 13:21:31","2016-01-24 13:21:31"
1723,148,1723,0,0,NULL,NULL,"2016-01-24 13:21:31","2016-01-24 13:21:31"
1724,149,1724,0,0,NULL,NULL,"2016-01-24 13:21:31","2016-01-24 13:21:31"
1725,150,1725,0,0,NULL,NULL,"2016-01-24 13:21:31","2016-01-24 13:21:31"
1726,151,1726,0,0,NULL,NULL,"2016-01-24 13:21:31","2016-01-24 13:21:31"
1727,152,1727,0,0,NULL,NULL,"2016-01-24 13:21:31","2016-01-24 13:21:31"
1728,153,1728,0,0,NULL,NULL,"2016-01-24 13:21:31","2016-01-24 13:21:31"
1729,154,1729,0,0,NULL,NULL,"2016-01-24 13:21:31","2016-01-24 13:21:31"
1730,155,1730,0,0,NULL,NULL,"2016-01-24 13:21:31","2016-01-24 13:21:31"
1731,156,1731,0,0,NULL,NULL,"2016-01-24 13:21:31","2016-01-24 13:21:31"
1732,157,1732,0,0,NULL,NULL,"2016-01-24 13:21:31","2016-01-24 13:21:31"
1733,158,1733,0,0,NULL,NULL,"2016-01-24 13:21:31","2016-01-24 13:21:31"
1734,159,1734,0,0,NULL,NULL,"2016-01-24 13:21:31","2016-01-24 13:21:31"
1735,160,1735,0,0,NULL,NULL,"2016-01-24 13:21:32","2016-01-24 13:21:32"
1736,161,1736,0,0,NULL,NULL,"2016-01-24 13:21:32","2016-01-24 13:21:32"
1737,162,1737,0,0,NULL,NULL,"2016-01-24 13:21:33","2016-01-24 13:21:33"
1738,163,1738,0,0,NULL,NULL,"2016-01-24 13:21:33","2016-01-24 13:21:33"
1739,164,1739,0,0,NULL,NULL,"2016-01-24 13:21:33","2016-01-24 13:21:33"
1740,165,1740,0,0,NULL,NULL,"2016-01-24 13:21:33","2016-01-24 13:21:33"
1741,166,1741,0,0,NULL,NULL,"2016-01-24 13:21:33","2016-01-24 13:21:33"
1742,167,1742,0,0,NULL,NULL,"2016-01-24 13:21:33","2016-01-24 13:21:33"
1745,170,1745,0,0,NULL,NULL,"2016-01-28 12:59:16","2016-01-28 12:59:16"
1746,171,1746,0,0,NULL,NULL,"2016-01-28 12:59:16","2016-01-28 12:59:16"
1747,172,1747,0,0,NULL,NULL,"2016-01-28 12:59:16","2016-01-28 12:59:16"
